Start Date,1/1/2018,,Daily
End Date,11/7/2018,,
,,,
Securities,HSCI INDEX,,
,,,
PX_LAST,,,
2/1/2018,4224.21,,
3/1/2018,4239.86,,
4/1/2018,4264.77,,
5/1/2018,4278.16,,
8/1/2018,4303.51,,
9/1/2018,4316.85,,
10/1/2018,4325.97,,
11/1/2018,4325.71,,
12/1/2018,4365.36,,
15/1/2018,4334.73,,
16/1/2018,4410.05,,
17/1/2018,4420.47,,
18/1/2018,4435.97,,
19/1/2018,4466.11,,
22/1/2018,4497.94,,
23/1/2018,4563.62,,
24/1/2018,4569.13,,
25/1/2018,4529.43,,
26/1/2018,4594.24,,
29/1/2018,4564.42,,
30/1/2018,4506.45,,
31/1/2018,4534.48,,
1/2/2018,4498.35,,
2/2/2018,4502.24,,
5/2/2018,4447.9,,
6/2/2018,4213.42,,
7/2/2018,4177.86,,
8/2/2018,4195.69,,
9/2/2018,4061.27,,
12/2/2018,4071.45,,
13/2/2018,4130.42,,
14/2/2018,4213.71,,
15/2/2018,4294.94,,
20/2/2018,4276.13,,
21/2/2018,4347.76,,
22/2/2018,4290.23,,
23/2/2018,4335.25,,
26/2/2018,4360.93,,
27/2/2018,4321.33,,
28/2/2018,4270.28,,
1/3/2018,4298.21,,
2/3/2018,4234.48,,
5/3/2018,4147.83,,
6/3/2018,4233.45,,
7/3/2018,4192.62,,
8/3/2018,4256.81,,
9/3/2018,4298.34,,
12/3/2018,4375.4,,
13/3/2018,4373.85,,
14/3/2018,4356.14,,
15/3/2018,4373.71,,
16/3/2018,4370.62,,
19/3/2018,4364.47,,
20/3/2018,4373.89,,
21/3/2018,4347.11,,
22/3/2018,4296.14,,
23/3/2018,4182.55,,
26/3/2018,4215.37,,
27/3/2018,4255.78,,
28/3/2018,4149,,
29/3/2018,4158.66,,
3/4/2018,4174.28,,
4/4/2018,4100.17,,
6/4/2018,4144.4,,
9/4/2018,4193.13,,
10/4/2018,4260.92,,
11/4/2018,4273.9,,
12/4/2018,4259.32,,
13/4/2018,4250.93,,
16/4/2018,4186.34,,
17/4/2018,4141.17,,
18/4/2018,4162.12,,
19/4/2018,4219.04,,
20/4/2018,4173.48,,
23/4/2018,4145.48,,
24/4/2018,4207.54,,
25/4/2018,4173.14,,
26/4/2018,4130.64,,
27/4/2018,4167.74,,
30/4/2018,4237.93,,
2/5/2018,4225.93,,
3/5/2018,4177.44,,
4/5/2018,4132.79,,
7/5/2018,4148.67,,
8/5/2018,4201.7,,
9/5/2018,4217.84,,
10/5/2018,4250.12,,
11/5/2018,4284.72,,
14/5/2018,4342.01,,
15/5/2018,4302.41,,
16/5/2018,4297.27,,
17/5/2018,4275.6,,
18/5/2018,4293.87,,
21/5/2018,4314.18,,
23/5/2018,4253.04,,
24/5/2018,4267.67,,
25/5/2018,4250.44,,
28/5/2018,4274.75,,
29/5/2018,4226.64,,
30/5/2018,4168.29,,
31/5/2018,4234.97,,
1/6/2018,4232.08,,
4/6/2018,4299.68,,
5/6/2018,4310.72,,
6/6/2018,4332.75,,
7/6/2018,4357.48,,
8/6/2018,4285.67,,
11/6/2018,4302.72,,
12/6/2018,4314.43,,
13/6/2018,4269.47,,
14/6/2018,4228.19,,
15/6/2018,4207.03,,
19/6/2018,4078.67,,
20/6/2018,4105.18,,
21/6/2018,4057.17,,
22/6/2018,4066.54,,
25/6/2018,4003.91,,
26/6/2018,3979.46,,
27/6/2018,3891.82,,
28/6/2018,3892.86,,
29/6/2018,3978.97,,
3/7/2018,3915.91,,
4/7/2018,3857.82,,
5/7/2018,3845.18,,
6/7/2018,3862,,
9/7/2018,3932.2,,
10/7/2018,3927.3,,
11/7/2018,3867.57,,
