,CD,CS,Energy,Financials,Healthcare,Industrials,IT,Materials,RealEstate,Telecom,Utilities
1998Q4,9,4,1,3,11,7,2,8,10,6,5
1999Q2,6,1,7,10,11,8,4,5,3,2,9
1999Q4,8,1,9,10,11,7,3,6,2,4,5
2000Q2,9,8,10,6,11,5,1,3,4,2,7
2000Q4,6,3,7,5,9,11,2,4,10,1,8
2001Q2,3,2,4,6,8,11,9,5,10,1,7
2001Q4,3,2,9,10,5,1,11,8,7,4,6
2002Q2,3,2,9,11,5,6,10,8,1,4,7
2002Q4,7,5,3,11,8,10,2,6,4,1,9
2003Q2,3,8,2,10,4,6,7,5,11,1,9
2003Q4,6,8,7,5,2,1,3,4,11,10,9
2004Q2,5,7,8,11,2,1,3,4,6,10,9
2004Q4,7,6,3,8,10,1,9,2,11,4,5
2005Q2,9,8,1,5,4,11,7,2,10,6,3
2005Q4,1,6,4,5,2,11,3,8,9,10,7
2006Q2,2,11,6,4,10,7,3,1,5,9,8
2006Q4,3,8,9,5,11,4,6,1,2,10,7
2007Q2,2,7,9,3,11,1,8,5,4,10,6
2007Q4,6,10,9,2,11,3,4,8,1,7,5
2008Q2,11,4,3,9,10,1,2,7,6,8,5
2008Q4,2,5,6,8,9,11,3,1,4,10,7
2009Q2,2,7,11,9,6,10,3,1,5,8,4
2009Q4,1,8,9,7,6,5,4,10,3,11,2
2010Q2,7,9,3,10,8,5,2,4,1,11,6
2010Q4,8,6,1,2,10,4,3,7,5,11,9
2011Q2,10,6,3,8,4,7,2,5,1,11,9
2011Q4,6,9,1,8,2,10,7,4,3,11,5
2012Q2,9,5,6,4,2,11,1,10,3,8,7
2012Q4,10,5,6,4,3,11,1,8,2,7,9
2013Q2,4,5,10,9,1,11,2,8,3,7,6
2013Q4,1,6,11,7,4,8,3,9,2,10,5
2014Q2,3,9,10,5,4,11,2,6,1,7,8
2014Q4,7,11,10,4,2,5,3,6,1,8,9
2015Q2,7,8,11,2,5,1,4,10,3,6,9
2015Q4,3,9,11,5,4,1,2,10,6,8,7
2016Q2,1,9,11,10,4,2,3,8,5,6,7
2016Q4,1,8,10,11,4,7,3,2,5,9,6
2017Q2,5,11,4,9,2,8,3,1,6,10,7
2017Q4,2,10,5,7,1,9,3,4,8,11,6
