,Consumer Discretionary,Consumer Staples,Energy,Financials,Health Care,Industrials,Information Technology,Materials,Real Estate,Telecommunication Services,Utilities
1998Q4,0,1,1,1,0,0,1,0,0,0,0
1999Q2,0,1,0,0,0,0,1,0,1,1,0
1999Q4,0,1,0,0,0,0,1,0,1,1,0
2000Q2,0,0,0,0,0,0,1,1,1,1,0
2000Q4,0,1,0,0,0,0,1,1,0,1,0
2001Q2,1,1,1,0,0,0,0,0,0,1,0
2001Q4,1,1,0,0,0,1,0,0,0,1,0
2002Q2,1,1,0,0,0,0,0,0,1,1,0
2002Q4,0,0,1,0,0,0,1,0,1,1,0
2003Q2,1,0,1,0,1,0,0,0,0,1,0
2003Q4,0,0,0,0,1,1,1,1,0,0,0
2004Q2,0,0,0,0,1,1,1,1,0,0,0
2004Q4,0,0,1,0,0,1,0,1,0,1,0
2005Q2,0,0,1,0,1,0,0,1,0,0,1
2005Q4,1,0,1,0,1,0,1,0,0,0,0
2006Q2,1,0,0,1,0,0,1,1,0,0,0
2006Q4,1,0,0,0,0,1,0,1,1,0,0
2007Q2,1,0,0,1,0,1,0,0,1,0,0
2007Q4,0,0,0,1,0,1,1,0,1,0,0
2008Q2,0,1,1,0,0,1,1,0,0,0,0
2008Q4,1,0,0,0,0,0,1,1,1,0,0
2009Q2,1,0,0,0,0,0,1,1,0,0,1
2009Q4,1,0,0,0,0,0,1,0,1,0,1
2010Q2,0,0,1,0,0,0,1,1,1,0,0
2010Q4,0,0,1,1,0,1,1,0,0,0,0
2011Q2,0,0,1,0,1,0,1,0,1,0,0
2011Q4,0,0,1,0,1,0,0,1,1,0,0
2012Q2,0,0,0,1,1,0,1,0,1,0,0
2012Q4,0,0,0,1,1,0,1,0,1,0,0
2013Q2,1,0,0,0,1,0,1,0,1,0,0
2013Q4,1,0,0,0,1,0,1,0,1,0,0
2014Q2,1,0,0,0,1,0,1,0,1,0,0
2014Q4,0,0,0,1,1,0,1,0,1,0,0
2015Q2,0,0,0,1,0,1,1,0,1,0,0
2015Q4,1,0,0,0,1,1,1,0,0,0,0
2016Q2,1,0,0,0,1,1,1,0,0,0,0
2016Q4,1,0,0,0,1,0,1,1,0,0,0
2017Q2,0,0,1,0,1,0,1,1,0,0,0
2017Q4,1,0,0,0,1,0,1,1,0,0,0
